prompt_id,tier,family,hd_cadence,hd95_cadence,hd_gpt4o,hd95_gpt4o,hd_gpt52,hd95_gpt52
pcb__RPI3,Complex,pcb,0.126155,0.054744,0.198109,0.147710,0.198109,0.147710
pcb__RPI3A,Complex,pcb,0.170876,0.084291,0.136105,0.094067,0.136105,0.094067
pcb__RPI4,Complex,pcb,0.111633,0.053141,0.197606,0.150128,0.197606,0.150128
pcb__RPI_Pico,Complex,pcb,0.112897,0.032537,0.071014,0.024107,0.071014,0.024107
pcb__TMC2130,Complex,pcb,0.533924,0.343553,0.562255,0.467726,0.400287,0.225214
pcb__TP4056,Complex,pcb,0.079924,0.044300,0.122643,0.076249,0.117182,0.076508
pcb__WD2002SJ,Complex,pcb,0.138913,0.082715,0.157926,0.090351,0.158329,0.090348
pcb__XIAO,Complex,pcb,0.189138,0.132987,0.189682,0.133028,0.189682,0.133028
pcb__ZC_A0591,Complex,pcb,0.262984,0.186089,0.262862,0.186202,0.246257,0.131425
photo_interrupter__PH1,Simple,photo_interrupter,0.325926,0.232688,0.466090,0.369853,0.695806,0.514403
pillar__M2x16_brass_pillar,Medium,pillar,0.408203,0.296466,0.165012,0.031363,0.408723,0.296455
pillar__M3x10_nylon_hex_pillar,Medium,pillar,0.334080,0.291137,0.384074,0.180453,0.313081,0.278158
pillar__M3x13_hex_pillar,Medium,pillar,0.326617,0.130595,0.324614,0.130034,0.333677,0.289403
pillar__M3x20_hex_pillar,Medium,pillar,0.330664,0.274714,0.289738,0.097135,0.336456,0.281353
pillar__M3x20_nylon_hex_pillar,Medium,pillar,0.351682,0.318216,0.237032,0.098681,0.349138,0.316056
pillar__M3x20_nylon_pillar,Medium,pillar,0.334131,0.308494,0.237147,0.096198,0.333880,0.308463
pillar__M3x6_hex_pillar,Medium,pillar,0.269040,0.243588,0.514270,0.335394,0.274534,0.249519
pillar__M4x17_nylon_pillar,Medium,pillar,0.334457,0.303226,0.241520,0.077184,0.333670,0.302462
pillow_block__KP000,Medium,pillow_block,0.449912,0.350167,0.376495,0.312522,0.632075,0.495336
pillow_block__KP001,Medium,pillow_block,0.555717,0.391221,0.498609,0.430722,0.472879,0.358213
pillow_block__KP08_15,Medium,pillow_block,,,0.365368,0.221050,0.484695,0.377801
pillow_block__KP08_18,Medium,pillow_block,0.584756,0.335857,0.383881,0.321842,0.502979,0.404776
potentiometer__BTT_encoder,Complex,potentiometer,0.362097,0.263222,0.437684,0.375019,0.141441,0.132184
potentiometer__KY_040_encoder,Complex,potentiometer,0.632202,0.474795,0.734625,0.575827,0.557785,0.421060
pulley__GT2x12_pulley,Complex,pulley,0.474888,0.466778,0.492700,0.473693,0.567307,0.554774
pulley__GT2x16_plain_idler,Complex,pulley,0.453021,0.169150,0.395845,0.391730,0.393451,0.348324
pulley__GT2x16_pulley,Complex,pulley,0.331255,0.303640,0.428329,0.416690,0.474248,0.464497
pulley__GT2x16_pulley_9,Complex,pulley,0.472973,0.456143,0.471630,0.455687,0.500400,0.483527
pulley__GT2x16_toothed_idler,Complex,pulley,0.604490,0.479602,0.545557,0.540563,0.358984,0.357212
pulley__GT2x16_toothed_idler_9,Complex,pulley,0.369324,0.342987,0.459266,0.409125,0.350416,0.333677
pulley__GT2x16x7_plain_idler,Complex,pulley,0.414241,0.230147,0.449016,0.435669,0.421000,0.402396
pulley__GT2x20_plain_idler,Complex,pulley,0.507349,0.227827,0.354607,0.350095,0.392780,0.359639
pulley__GT2x20_pulley_9,Complex,pulley,0.138401,0.065833,0.504859,0.491338,0.600496,0.586593
pulley__GT2x20_toothed_idler,Complex,pulley,0.334676,0.333392,0.550886,0.499240,0.345931,0.344555
pulley__GT2x20_toothed_idler_9,Complex,pulley,0.465050,0.457575,0.467848,0.426230,0.341327,0.333624
pulley__GT2x20ob_pulley,Complex,pulley,,,0.412192,0.400129,0.500637,0.500007
pulley__GT2x20um_pulley,Complex,pulley,0.553045,0.523926,0.438418,0.423106,0.527126,0.523825
pulley__GT2x80_pulley,Complex,pulley,0.235959,0.193840,0.276286,0.156143,0.225771,0.218527
pulley__T2p5x16_pulley,Complex,pulley,0.394465,0.386343,0.424297,0.416346,0.447973,0.446557
pulley__T5x10_pulley,Complex,pulley,0.637318,0.629637,0.452408,0.444455,0.571979,0.571432
radial__ACT1100,Medium,radial,0.340689,0.237745,0.347818,0.243957,0.343237,0.254799
radial__ACT1700,Medium,radial,0.255033,0.223664,0.393699,0.336032,0.208877,0.207300
radial__ATX_CM_CHOKE,Medium,radial,0.346330,0.271598,0.353152,0.258955,0.279199,0.244353
radial__C_002RX,Medium,radial,0.485074,0.449164,0.333559,0.112060,0.300762,0.221309
radial__HC49,Medium,radial,0.576433,0.487095,0.465643,0.392294,0.504530,0.410003
radial__HC49_4H,Medium,radial,0.395500,0.341608,0.411758,0.350152,0.397673,0.347086
rail__HGH15CA,Simple,rail,0.432584,0.418559,0.091859,0.075279,0.088807,0.075845
rail__HGH20CA,Simple,rail,0.506111,0.417256,0.089989,0.087677,0.450185,0.401792
rail__MGN12,Simple,rail,0.046235,0.040458,0.042861,0.040251,0.442270,0.424783
rail__MGN15,Simple,rail,0.428703,0.419291,0.071808,0.055608,0.060244,0.050591
rail__MGN5,Simple,rail,0.480379,0.458740,0.018731,0.018094,0.479979,0.462826
rail__MGN7,Simple,rail,0.027940,0.025374,0.025891,0.025024,0.500110,0.450421
rail__MGN9,Simple,rail,0.456293,0.437294,0.033997,0.030309,0.035074,0.030409
rail__SSR15,Simple,rail,0.500164,0.426025,0.068244,0.062807,0.438833,0.419683
ring_terminal__M3_ringterm,Complex,ring_terminal,0.508320,0.402928,0.419653,0.351737,0.847893,0.815941
ring_terminal__M3_ringterm_crimp,Complex,ring_terminal,0.711649,0.654202,0.569007,0.386190,0.828088,0.802097
ring_terminal__M3_ringterm_cs,Complex,ring_terminal,0.634831,0.559640,0.560713,0.391999,0.741213,0.665555
rod_end__RE_m5_bearing,Complex,rod_end,0.668198,0.381006,0.518099,0.468744,0.335269,0.246134
screw__M2_cap_screw,Complex,screw,0.029238,0.009546,0.092594,0.011056,0.296926,0.294127
screw__M2_cs_cap_screw,Complex,screw,0.544461,0.540261,,,0.336085,0.333341
screw__M2_dome_screw,Complex,screw,0.069271,0.049533,0.141444,0.080811,0.333466,0.262573
screw__M2p5_cap_screw,Complex,screw,0.035628,0.010918,0.446578,0.444449,0.285904,0.285715
screw__M2p5_dome_screw,Complex,screw,0.046197,0.032454,0.474648,0.437214,0.338106,0.333377
screw__M2p5_pan_screw,Complex,screw,0.500225,0.433303,0.500058,0.433241,0.303560,0.299586
screw__M3_cap_screw,Complex,screw,0.434918,0.434785,0.032226,0.017022,0.278143,0.277785
screw__M3_cs_cap_screw,Complex,screw,0.230760,0.211988,0.566642,0.565221,0.444569,0.425045
screw__M3_dome_screw,Complex,screw,0.143604,0.062827,0.471832,0.440992,0.089764,0.027325
screw__M3_grub_screw,Complex,screw,0.540890,0.499817,0.625051,0.593671,0.625076,0.593671
screw__M3_hex_screw,Complex,screw,0.023376,0.017186,0.109347,0.080754,0.046486,0.036266
screw__M3_low_cap_screw,Complex,screw,0.029087,0.020951,0.456734,0.454554,0.294427,0.294127
screw__M3_pan_screw,Complex,screw,0.083683,0.030989,0.456955,0.454617,0.254592,0.250022
screw__M3_shoulder_screw,Complex,screw,0.666691,0.564499,0.617317,0.522688,0.600044,0.477411
screw__M4_cap_screw,Complex,screw,0.419232,0.419087,0.420542,0.416680,0.333674,0.232723
screw__M4_cs_cap_screw,Complex,screw,0.278487,0.277050,0.218240,0.160143,0.473819,0.473686
screw__M4_dome_screw,Complex,screw,0.050197,0.046173,0.197951,0.101875,0.299297,0.283094
screw__M4_grub_screw,Complex,screw,0.389267,0.361168,0.615473,0.584312,0.538551,0.507417
screw__M4_hex_screw,Complex,screw,0.089966,0.048769,0.436419,0.436219,0.333862,0.248563
screw__M4_pan_screw,Complex,screw,0.430433,0.412168,0.434539,0.429622,0.333796,0.224445
screw__M4_shoulder_screw,Complex,screw,0.604991,0.510176,0.666703,0.564321,0.600055,0.477189
screw__M5_cap_screw,Complex,screw,0.171309,0.138214,0.177191,0.103250,0.250912,0.250025
screw__M5_cs_cap_screw,Complex,screw,0.296857,0.295796,0.602481,0.600008,0.500342,0.500007
screw__M5_dome_screw,Complex,screw,0.117690,0.084176,0.500182,0.441895,0.333695,0.255827
screw__M5_grub_screw,Complex,screw,0.333722,0.333334,0.545582,0.534073,0.500144,0.500007
screw__M5_hex_screw,Complex,screw,0.423023,0.422851,0.423005,0.422852,0.271173,0.268177
screw__M5_pan_screw,Complex,screw,0.149561,0.101870,0.128218,0.070283,0.278866,0.265762
screw__M6_cap_screw,Complex,screw,0.055836,0.018761,0.395982,0.384647,0.238723,0.238122
screw__M6_cs_cap_screw,Complex,screw,0.369708,0.369241,0.443419,0.301491,0.523995,0.495359
screw__M6_dome_screw,Complex,screw,0.077793,0.058038,0.538237,0.476515,0.293560,0.273243
screw__M6_grub_screw,Complex,screw,0.375217,0.316509,0.483199,0.482759,0.406548,0.359908
screw__M6_hex_screw,Complex,screw,0.416355,0.414127,0.414388,0.414108,0.266569,0.261231
screw__M6_pan_screw,Complex,screw,0.184172,0.077117,0.413570,0.405181,0.083590,0.059985
screw__M8_cap_screw,Complex,screw,0.046019,0.028609,0.371543,0.357192,0.219413,0.217395
screw__M8_cs_cap_screw,Complex,screw,0.445157,0.444473,0.608256,0.600027,0.565542,0.565226
screw__M8_dome_screw,Complex,screw,0.311748,0.278335,0.475298,0.403513,0.208253,0.132803
screw__M8_hex_screw,Complex,screw,0.073104,0.059660,0.390894,0.389909,0.338449,0.333408
screw__No2_screw,Complex,screw,0.101258,0.089475,0.500001,0.416310,0.333320,0.221079
screw__No4_screw,Complex,screw,0.415879,0.268859,0.456997,0.454616,0.358946,0.319821
screw__No632_pan_screw,Complex,screw,0.109805,0.072831,0.447924,0.444702,0.293444,0.286441
screw__No6_cs_screw,Complex,screw,0.500925,0.500034,0.378270,0.375054,0.337285,0.333392
screw__No6_screw,Complex,screw,0.139850,0.104651,0.453312,0.450641,0.297304,0.291188
screw__No8_screw,Complex,screw,0.158981,0.116966,0.438632,0.434235,0.323244,0.143138
servo_motor__Lichuan_M01330_80ST,Medium,servo_motor,0.307138,0.219126,0.766880,0.723964,0.401521,0.375058
servo_motor__Lichuan_M02430_80ST,Medium,servo_motor,0.132995,0.079472,0.758179,0.697368,0.454550,0.408620
servo_motor__Lichuan_M03530_80ST,Medium,servo_motor,0.121833,0.082887,0.822824,0.754641,0.619072,0.555610
servo_motor__Lichuan_M04030_80ST,Medium,servo_motor,0.388452,0.332889,0.831418,0.754476,0.635503,0.561885
shaft_coupling__SC_5x8_rigid,Medium,shaft_coupling,0.076654,0.038185,0.153572,0.087217,0.076604,0.039183
shaft_coupling__SC_6x8_flex,Medium,shaft_coupling,0.133293,0.081684,0.334472,0.333380,0.132294,0.071438
sheet__AL1_6,Simple,sheet,0.588577,0.499912,0.693337,0.584683,0.617741,0.518422
sheet__AL2,Simple,sheet,0.596046,0.503341,0.692283,0.568231,0.606330,0.516070
sheet__AL3,Simple,sheet,0.583506,0.498485,0.693058,0.584511,0.607133,0.516625
sheet__AL6,Simple,sheet,0.592679,0.505597,0.699310,0.575148,0.583476,0.500881
sheet__AL8,Simple,sheet,0.583496,0.502367,0.699259,0.575096,0.583504,0.503919
sheet__CF1,Simple,sheet,,,0.692153,0.548694,0.699228,0.557867
sheet__CF2,Simple,sheet,0.584924,0.491963,0.692150,0.548671,0.700026,0.553635
sheet__CF3,Simple,sheet,0.601960,0.500579,0.692156,0.548682,0.700026,0.553631
sheet__Cardboard,Simple,sheet,0.586025,0.498289,0.552261,0.471743,0.564709,0.463709
sheet__DiBond,Simple,sheet,0.556005,0.473845,0.691771,0.560417,0.595878,0.491051
sheet__DiBond6,Simple,sheet,0.554070,0.474225,0.691806,0.560417,0.595882,0.491056
sheet__Foam20,Simple,sheet,0.614020,0.519691,0.692728,0.583893,,
sheet__FoilTape,Simple,sheet,0.893512,0.752916,0.690161,0.544520,0.541347,0.463810
sheet__MDF10,Simple,sheet,0.679262,0.557444,0.692163,0.548721,0.699228,0.555550
sheet__MDF12,Simple,sheet,0.699227,0.555557,0.692164,0.548722,0.699227,0.555557
sheet__MDF18,Simple,sheet,0.592052,0.504172,0.550791,0.473895,0.598192,0.493190
sheet__MDF19,Simple,sheet,0.699226,0.555558,0.692177,0.548724,0.699226,0.555558
sheet__MDF22,Simple,sheet,0.590908,0.502990,0.550749,0.473906,0.598191,0.493191
sheet__MDF3,Simple,sheet,0.593533,0.502988,0.550740,0.473891,0.598191,0.493199
sheet__MDF6,Simple,sheet,0.699225,0.555548,0.692181,0.548701,0.699225,0.555548
sheet__PMMA10,Simple,sheet,0.699228,0.555550,0.692163,0.548721,0.699228,0.555550
sheet__PMMA1p25,Simple,sheet,0.581501,0.491884,0.689673,0.555453,0.699229,0.557934
sheet__PMMA2,Simple,sheet,0.595508,0.491678,0.689651,0.555465,0.699223,0.557931
sheet__PMMA3,Simple,sheet,0.699220,0.555548,0.692156,0.548682,0.700028,0.553523
sheet__PMMA6,Simple,sheet,0.617470,0.504982,0.692181,0.548701,0.699225,0.555548
sheet__PMMA8,Simple,sheet,0.693477,0.578525,0.689669,0.546062,0.692670,0.577944
sheet__Sellotape,Simple,sheet,0.497216,0.445176,0.623778,0.589203,0.748499,0.496045
sheet__Silicone3,Simple,sheet,0.675502,0.551334,0.692156,0.548682,0.679295,0.554871
sheet__Spring08,Simple,sheet,0.496676,0.444643,0.490232,0.443767,0.497485,0.448887
sheet__Steel06,Simple,sheet,0.551613,0.474993,0.692170,0.548683,0.699251,0.557963
sk_bracket__SK10,Medium,sk_bracket,0.332559,0.203863,0.345836,0.309863,0.331019,0.240772
sk_bracket__SK12,Medium,sk_bracket,0.435352,0.302436,0.408276,0.354590,0.334759,0.262380
sk_bracket__SK16,Medium,sk_bracket,0.500836,0.396389,0.604709,0.495757,0.381607,0.322931
sk_bracket__SK8,Medium,sk_bracket,0.321916,0.285886,0.554020,0.347873,0.381823,0.287563
smd__SOIC14,Medium,smd,0.121489,0.085599,0.121344,0.084189,0.121420,0.018224
smd__SOIC16,Medium,smd,0.106878,0.074043,0.106691,0.074037,0.106878,0.073998
smd__SOIC18,Medium,smd,0.149194,0.084690,0.123398,0.097298,0.125621,0.080583
smd__SOIC8,Medium,smd,0.227513,0.147646,0.212805,0.147624,0.212738,0.147591
smd__SOT223,Medium,smd,0.187273,0.138616,0.250691,0.153595,0.250476,0.153688
smd__SOT23,Medium,smd,0.205332,0.191435,0.200956,0.184767,0.200917,0.056869
smd__SOT23_6,Medium,smd,0.252773,0.193085,0.197550,0.193643,0.204018,0.193647
smd__TSOT23_8,Medium,smd,0.197330,0.178382,0.194130,0.178332,0.203505,0.178319
ssr__SSR10DA,Medium,ssr,0.355534,0.249669,0.288466,0.284781,0.295491,0.239750
ssr__SSR25DA,Medium,ssr,0.186755,0.182942,0.186745,0.182948,0.188294,0.183063
stepper_motor__NEMA14_36,Complex,stepper_motor,0.099858,0.032199,0.282575,0.281302,0.251166,0.236884
stepper_motor__NEMA16_19,Complex,stepper_motor,0.196484,0.063110,0.221194,0.211293,0.386421,0.189386
stepper_motor__NEMA17_27,Complex,stepper_motor,0.116828,0.060661,0.395273,0.250387,0.230944,0.214781
stepper_motor__NEMA17_34,Complex,stepper_motor,0.103836,0.041250,0.346336,0.250262,,
stepper_motor__NEMA17_40,Complex,stepper_motor,0.141421,0.050217,0.336656,0.333365,0.286040,0.238154
stepper_motor__NEMA17_40L280,Complex,stepper_motor,0.808915,0.578813,0.875058,0.645010,0.743764,0.513662
stepper_motor__NEMA17_47,Complex,stepper_motor,0.081690,0.039875,0.334580,0.330992,0.250439,0.248706
stepper_motor__NEMA17_47L80,Complex,stepper_motor,0.274976,0.175103,0.445000,0.185083,0.256165,0.185056
stepper_motor__NEMA23_51,Complex,stepper_motor,0.139639,0.030505,0.410538,0.250163,0.264290,0.259224
stepper_motor__NEMA8_30,Complex,stepper_motor,0.169064,0.073320,0.345511,0.030884,0.390020,0.254265
stepper_motor__NEMA8_30BH,Complex,stepper_motor,0.328398,0.223947,0.210642,0.094838,0.252632,0.131703
swiss_clip__UKPFS1008_10,Medium,swiss_clip,0.443498,0.372512,0.439041,0.293790,,
toggle__AP5236,Complex,toggle,0.241917,0.128721,0.536014,0.411011,0.241701,0.126153
toggle__AP5236_pin,Complex,toggle,0.944469,0.847802,0.920389,0.823720,0.923213,0.828291
toggle__CK7000_pin,Complex,toggle,0.944356,0.847006,0.923923,0.826571,0.927093,0.830895
toggle__CK7000_tag,Complex,toggle,0.944917,0.847743,0.943645,0.846468,0.929185,0.833295
toggle__CK7101,Complex,toggle,0.227863,0.111036,0.422488,0.296043,0.292816,0.167812
toggle__CK7105,Complex,toggle,0.222030,0.088390,0.346548,0.210738,0.250839,0.069486
toggle__MS332F,Complex,toggle,0.200236,0.121448,0.395434,0.290606,0.204527,0.117201
toggle__MS332F_pin,Complex,toggle,0.945049,0.843757,0.920377,0.819081,0.933432,0.833480
transformer__CCM300,Medium,transformer,0.362469,0.301314,0.363966,0.342748,0.348266,0.127876
transformer__SMALLTX,Medium,transformer,0.173803,0.095610,0.317713,0.285462,0.319213,0.284916
tubing__CARBONFIBER10,Medium,tubing,0.038650,0.021084,0.861762,0.804292,0.465321,0.414625
tubing__HSHRNK100,Medium,tubing,,,0.739387,0.658205,0.376699,0.334307
tubing__HSHRNK16,Medium,tubing,0.043642,0.040956,0.742541,0.658528,0.386869,0.354802
tubing__HSHRNK24,Medium,tubing,0.077513,0.017558,0.741871,0.656372,0.383005,0.359472
tubing__HSHRNK32,Medium,tubing,0.106572,0.029754,0.741299,0.657809,0.378354,0.332279
tubing__HSHRNK64,Medium,tubing,0.148309,0.146735,0.739780,0.653719,0.377024,0.334360
tubing__NEOP85,Medium,tubing,0.375995,0.353827,0.862268,0.781914,0.663100,0.598615
tubing__PF7,Medium,tubing,0.064567,0.061616,0.860513,0.769560,0.425062,0.378584
tubing__PTFE07,Medium,tubing,0.094802,0.094029,0.861465,0.769774,0.437968,0.393322
tubing__PTFE20,Medium,tubing,0.050578,0.047591,0.861174,0.769433,0.437749,0.393681
tubing__PTFE2_3,Medium,tubing,0.038884,0.034610,0.860482,0.768978,0.425033,0.379046
tubing__PTFE2_4,Medium,tubing,0.020930,0.011214,0.860506,0.772509,0.462501,0.416061
tubing__PTFE4_6,Medium,tubing,0.070820,0.067430,0.712507,0.648261,0.425151,0.377881
tubing__PVC64,Medium,tubing,0.136455,0.131693,0.862936,0.773429,0.561566,0.513838
tubing__PVC85,Medium,tubing,0.102150,0.100516,0.862273,0.771446,0.634717,0.594343
tubing__STFE4_3p2_CLR,Medium,tubing,0.043988,0.040458,0.741259,0.655480,0.406766,0.352088
tubing__STFE4_6p4_CLR,Medium,tubing,0.161456,0.160029,0.739672,0.658611,0.406486,0.369262
variac__DURATRAKV5HM,Medium,variac,0.385692,0.359828,0.776661,0.733353,0.340539,0.324301
variac__RAVISTAT1F1,Medium,variac,0.478517,0.259584,0.633972,0.586624,0.454300,0.331150
washer__M2_washer,Simple,washer,0.040402,0.031301,0.024118,0.014664,0.040402,0.031297
washer__M2p5_washer,Simple,washer,0.049552,0.043319,0.023184,0.014094,0.049912,0.043326
washer__M3_penny_washer,Simple,washer,0.042032,0.034675,0.023498,0.013049,0.042032,0.034680
washer__M3_rubber_washer,Simple,washer,0.078491,0.075571,0.025231,0.014347,0.078419,0.075609
washer__M3_washer,Simple,washer,0.971742,0.877037,0.023419,0.013369,0.042289,0.036780
washer__M3p5_washer,Simple,washer,0.037444,0.032484,0.020742,0.012903,0.037444,0.032479
washer__M4_penny_washer,Simple,washer,0.035719,0.030005,0.022101,0.012734,0.037173,0.030053
washer__M4_washer,Simple,washer,0.050402,0.045324,0.023045,0.013059,0.050844,0.045324
washer__M5_penny_washer,Simple,washer,0.041237,0.036248,0.023946,0.012714,0.040963,0.036280
washer__M5_washer,Simple,washer,0.054227,0.050732,0.021822,0.012801,0.054292,0.050726
washer__M6_penny_washer,Simple,washer,0.035036,0.030396,0.022982,0.012703,0.034767,0.030410
washer__M6_washer,Simple,washer,0.064929,0.060657,0.024158,0.013153,0.064895,0.060648
washer__M8_penny_washer,Simple,washer,0.128461,0.126920,0.020787,0.012393,0.033706,0.026857
washer__M8_washer,Simple,washer,0.051808,0.047856,0.022384,0.012628,0.051664,0.047866
