prompt_id,tier,family,prompt_text,clip_craft,clip_gpt4o,clip_gpt52,clip_gt
linear_bearing__LM12UU,Medium,linear_bearing,A linear bearing with 12.0mm bore; 21.0mm outer diameter; and 30.0mm length,0.211300,0.205973,0.209452,0.217652
linear_bearing__LM16LUU,Medium,linear_bearing,A long linear bearing with 16.0mm bore; 28.0mm outer diameter; and 70.0mm length,0.206136,0.213376,0.209672,0.232538
linear_bearing__LM16UU,Medium,linear_bearing,A linear bearing with 16.0mm bore; 28.0mm outer diameter; and 37.0mm length,0.201794,0.205819,0.216320,0.223781
linear_bearing__LM16UUOP,Medium,linear_bearing,A linear bearing with 16.0mm bore; 28.0mm outer diameter; and 37.0mm length,0.201801,0.205819,0.202272,0.212161
linear_bearing__LM3LUU,Medium,linear_bearing,A long linear bearing with 3.0mm bore; 7.0mm outer diameter; and 19.0mm length,0.201879,0.195116,0.199603,0.221449
linear_bearing__LM3UU,Medium,linear_bearing,A linear bearing with 3.0mm bore; 7.0mm outer diameter; and 10.0mm length,0.199773,0.195965,0.193737,0.225217
linear_bearing__LM4LUU,Medium,linear_bearing,A long linear bearing with 4.0mm bore; 8.0mm outer diameter; and 23.0mm length,0.212283,0.194402,0.198519,0.224813
linear_bearing__LM4UU,Medium,linear_bearing,A linear bearing with 4.0mm bore; 8.0mm outer diameter; and 12.0mm length,0.197705,0.202452,0.193856,0.221625
linear_bearing__LM5LUU,Medium,linear_bearing,A long linear bearing with 5.0mm bore; 10.0mm outer diameter; and 28.0mm length,0.238014,0.200308,0.197815,0.228089
linear_bearing__LM5UU,Medium,linear_bearing,A linear bearing with 5.0mm bore; 10.0mm outer diameter; and 15.0mm length,0.199813,0.202915,0.196163,0.218389
linear_bearing__LM6LUU,Medium,linear_bearing,A long linear bearing with 6.0mm bore; 12.0mm outer diameter; and 35.0mm length,0.208499,0.199929,0.197558,0.236467
linear_bearing__LM6UU,Medium,linear_bearing,A linear bearing with 6.0mm bore; 12.0mm outer diameter; and 19.0mm length,0.222048,0.186298,0.200316,0.219619
linear_bearing__LM8LUU,Medium,linear_bearing,A long linear bearing with 8.0mm bore; 15.0mm outer diameter; and 45.0mm length,0.206671,0.205394,0.204393,0.236369
linear_bearing__LM8UU,Medium,linear_bearing,A linear bearing with 8.0mm bore; 15.0mm outer diameter; and 24.0mm length,0.197935,0.201877,0.205052,0.219257
magnet__MAG484,Simple,magnet,A magnet: Magnet,0.218797,0.205215,0.195066,0.209523
magnet__MAG5x8,Simple,magnet,A magnet: Magnet,0.213738,0.205215,0.211090,0.201271
magnet__MAG8x4x4p2,Simple,magnet,A permanent magnet; 8.0mm diameter; 4.2mm tall,0.228567,0.212453,0.213694,0.247648
magnet__MAGRE6x2p5,Simple,magnet,A magnet: Radial encoder magnet,0.179359,0.206093,0.166371,0.208043
mains_socket__Contactum,Medium,mains_socket,A mains socket: Old and unswitched,0.170247,0.148191,0.160088,0.244692
mains_socket__MKLOGIC,Medium,mains_socket,A mains socket: Screwfix; switched,0.172762,0.130523,0.186284,0.235450
mains_socket__PMS9143A,Medium,mains_socket,A mains socket: Screwfix Essential unswitched.,0.152910,0.117767,0.193489,0.242084
nut__M2_nut,Medium,nut,A hex nut for 2.0mm screws; 4.9mm across flats; and 1.6mm thick,0.249728,0.259023,0.248332,0.235703
nut__M2p5_nut,Medium,nut,A hex nut for 2.5mm screws; 5.8mm across flats; and 2.2mm thick,0.242990,0.250192,0.258292,0.235740
nut__M3_hammer_nut,Medium,nut,A T-slot nut for 3.0mm screws; 6.0mm across flats; and 2.75mm thick,0.198630,0.214469,0.232200,0.214886
nut__M3_nut,Medium,nut,A hex nut for 3.0mm screws; 6.4mm across flats; and 2.4mm thick,0.263652,0.257814,0.257500,0.223038
nut__M3_sliding_t_nut,Medium,nut,A T-slot nut for 3.0mm screws; 6.0mm across flats; and 3.0mm thick,0.163300,0.219001,0.237091,0.226851
nut__M3nS_thin_nut,Medium,nut,A thin hex nut for 3.0mm screws; 5.5mm across flats; and 1.8mm thick,0.229189,0.268679,0.257632,0.231404
nut__M4_hammer_nut,Medium,nut,A T-slot nut for 4.0mm screws; 6.0mm across flats; and 3.25mm thick,0.174979,0.207305,0.200445,0.202313
nut__M4_nut,Medium,nut,A hex nut for 4.0mm screws; 8.1mm across flats; and 3.2mm thick,0.244733,0.200836,0.268133,0.229734
nut__M4_sliding_t_nut,Medium,nut,A T-slot nut for 4.0mm screws; 6.0mm across flats; and 3.7mm thick,0.181364,0.172802,0.204200,0.202982
nut__M4_weld_nut,Medium,nut,A hex nut for 4.0mm screws; 5.3mm across flats; and 6.3mm thick,0.187391,0.198489,0.221859,0.213052
nut__M4_wingnut,Medium,nut,A wing nut for 4.0mm screws; 10.0mm across flats; and 3.75mm thick,0.248485,0.222910,0.237794,0.221051
nut__M4nS_thin_nut,Medium,nut,A thin hex nut for 4.0mm screws; 7.0mm across flats; and 2.2mm thick,0.195891,0.256481,0.261479,0.232345
nut__M5_nut,Medium,nut,A hex nut for 5.0mm screws; 9.2mm across flats; and 4.0mm thick,0.256560,0.188617,0.261176,0.229027
nut__M5_sliding_t_nut,Medium,nut,A T-slot nut for 5.0mm screws; 6.0mm across flats; and 3.7mm thick,0.206836,0.160520,0.187867,0.215283
nut__M5nS_thin_nut,Medium,nut,A thin hex nut for 5.0mm screws; 8.0mm across flats; and 2.7mm thick,0.255747,0.236058,0.262720,0.238431
nut__M6_half_nut,Medium,nut,A hex nut for 6.0mm screws; 11.5mm across flats; and 3.0mm thick,0.245996,0.251837,0.276423,0.270465
nut__M6_nut,Medium,nut,A hex nut for 6.0mm screws; 11.5mm across flats; and 5.0mm thick,0.197596,0.189170,0.266762,0.228412
nut__M6_sliding_t_nut,Medium,nut,A T-slot nut for 6.0mm screws; 8.0mm across flats; and 6.6mm thick,0.204229,0.203385,0.195942,0.213525
nut__M6_weld_nut,Medium,nut,A hex nut for 6.0mm screws; 7.7mm across flats; and 7.9mm thick,0.192997,0.195939,0.210482,0.206924
nut__M6nS_thin_nut,Medium,nut,A thin hex nut for 6.0mm screws; 10.0mm across flats; and 3.2mm thick,0.255929,0.197146,0.270548,0.245353
nut__M8_nut,Medium,nut,A hex nut for 8.0mm screws; 15.0mm across flats; and 6.5mm thick,0.247019,0.261389,0.265906,0.227431
nut__M8nS_thin_nut,Medium,nut,A thin hex nut for 8.0mm screws; 13.0mm across flats; and 4.0mm thick,0.250239,0.196962,0.269578,0.250093
panel_meter__DSN_VC288,Complex,panel_meter,A panel meter: DSN- DC 100V 10A Voltmeter ammeter,0.158251,0.118211,0.171248,0.135598
panel_meter__DSP5005,Complex,panel_meter,A panel meter: Ruideng Power supply module,0.179783,0.192900,0.159260,0.195309
panel_meter__PZEM001,Complex,panel_meter,A panel meter: Peacefair PZEM-001 AC digital multi-function meter,0.155730,0.152760,0.150521,0.177242
panel_meter__PZEM021,Complex,panel_meter,A panel meter: Peacefair PZEM-021 AC digital multi-function meter,0.164561,0.170235,0.158949,0.170153
pcb__ArduinoLeonardo,Complex,pcb,A microcontroller development board; 68.58mm x 53.34mm; 1.6mm thick,0.233472,0.192243,0.192243,0.210649
pcb__ArduinoUno3,Complex,pcb,A microcontroller development board; 68.58mm x 53.34mm; 1.6mm thick,0.243349,0.192243,0.192243,0.205792
pcb__BTT_RELAY_V1_2,Complex,pcb,A 3D printer mainboard; 80.4mm x 36.3mm; 1.5mm thick,0.214170,0.199039,0.199039,0.207894
pcb__BTT_SKR_E3_TURBO,Complex,pcb,A 3D printer mainboard; 102.0mm x 90.25mm; 1.6mm thick,0.227885,0.186759,0.189109,0.203240
pcb__BTT_SKR_MINI_E3_V2_0,Complex,pcb,A 3D printer mainboard; 100.75mm x 70.25mm; 1.6mm thick,0.239732,0.197046,0.197046,0.199446
pcb__BTT_SKR_V1_4_TURBO,Complex,pcb,A 3D printer mainboard; 110.0mm x 85.0mm; 1.6mm thick,0.229193,0.193143,0.193143,0.195288
pcb__Duex2,Complex,pcb,A 3D printer control board; 123.0mm x 100.0mm; 1.6mm thick,0.233727,0.188637,0.188637,0.247271
pcb__Duex5,Complex,pcb,A 3D printer control board; 123.0mm x 100.0mm; 1.6mm thick,0.239097,0.188637,0.188637,0.248226
pcb__ESP_01,Complex,pcb,A printed circuit board; 24.8mm x 14.6mm; 1.0mm thick,0.221600,0.186614,0.186614,0.252940
pcb__ESP_01M,Complex,pcb,A printed circuit board; 18.0mm x 18.0mm; 0.8mm thick,0.211252,0.185749,0.185749,0.196543
pcb__EnviroPlus,Complex,pcb,A environmental sensor board; 65.0mm x 30.6mm; 1.6mm thick,0.247190,0.221404,0.221404,0.245797
pcb__Ethernet,Complex,pcb,A 3D printer control board; 33.8mm x 37.5mm; 1.6mm thick,0.130971,0.181963,0.181948,0.218026
pcb__HW803_1WAY_RELAY,Complex,pcb,A relay module; 50.0mm x 26.0mm; 1.6mm thick,0.217546,0.185838,0.236110,0.238859
pcb__KY_040,Complex,pcb,A rotary encoder breakout board; 26.3mm x 19.5mm; 1.6mm thick,0.231669,0.149441,0.194921,0.247797
pcb__Keyes5p1,Complex,pcb,A microcontroller development board; 68.58mm x 53.34mm; 1.6mm thick,0.238116,0.192243,0.192232,0.237968
pcb__Melzi,Complex,pcb,A 3D printer control board; 203.2mm x 49.53mm; 1.6mm thick,0.243979,0.178815,0.178815,0.210208
pcb__PI_IO,Complex,pcb,A printed circuit board; 35.56mm x 25.4mm; 1.6mm thick,0.221868,0.181666,0.181666,0.220089
pcb__PSU12V1A,Complex,pcb,A power supply board; 67.0mm x 31.0mm; 1.7mm thick,0.231647,0.213040,0.202684,0.222143
pcb__RAMPSEndstop,Complex,pcb,A printed circuit board; 40.0mm x 16.0mm; 1.6mm thick,0.226565,0.193044,0.193044,0.198683
pcb__RPI0,Complex,pcb,A single-board computer; 65.0mm x 30.0mm; 1.4mm thick,0.233827,0.230356,0.230356,0.225105
pcb__RPI3,Complex,pcb,A single-board computer; 85.0mm x 56.0mm; 1.4mm thick,0.224676,0.221978,0.221978,0.199657
pcb__RPI3A,Complex,pcb,A single-board computer; 65.0mm x 56.0mm; 1.4mm thick,0.210481,0.216305,0.216305,0.204137
pcb__RPI4,Complex,pcb,A single-board computer; 85.0mm x 56.0mm; 1.4mm thick,0.209348,0.221978,0.221978,0.199832
pcb__RPI_Pico,Complex,pcb,A single-board computer; 51.0mm x 21.0mm; 1.6mm thick,0.185664,0.221228,0.221228,0.222811
pcb__TMC2130,Complex,pcb,A stepper motor driver board; 20.0mm x 14.0mm; 1.6mm thick,0.233671,0.157549,0.242905,0.240488
pcb__TP4056,Complex,pcb,A battery charger module; 26.2mm x 17.5mm; 1.0mm thick,0.230163,0.173235,0.216121,0.225025
pcb__WD2002SJ,Complex,pcb,A DC-DC power converter module; 78.0mm x 47.0mm; 1.6mm thick,0.198673,0.174009,0.157848,0.203550
pcb__XIAO,Complex,pcb,A printed circuit board; 21.0mm x 18.0mm; 1.2mm thick,0.218043,0.176408,0.176408,0.226676
pcb__ZC_A0591,Complex,pcb,A motor driver module; 35.0mm x 32.0mm; 1.6mm thick,0.176148,0.156321,0.244965,0.225742
photo_interrupter__PH1,Simple,photo_interrupter,A photo interrupter,0.137422,0.131581,0.121715,0.108484
pillar__M2x16_brass_pillar,Medium,pillar,A standoff pillar; 2.0mm thread; 16.0mm long; 3.17mm diameter,0.234130,0.244032,0.244032,0.282857
pillar__M3x10_nylon_hex_pillar,Medium,pillar,A standoff pillar; 3.0mm thread; 10.0mm long; Nonemm diameter,0.211886,0.227638,0.237279,0.253417
pillar__M3x13_hex_pillar,Medium,pillar,A standoff pillar; 3.0mm thread; 13.0mm long; Nonemm diameter,0.213129,0.229027,0.231919,0.276656
pillar__M3x20_hex_pillar,Medium,pillar,A standoff pillar; 3.0mm thread; 20.0mm long; Nonemm diameter,0.236161,0.246726,0.234978,0.286317
pillar__M3x20_nylon_hex_pillar,Medium,pillar,A standoff pillar; 3.0mm thread; 20.0mm long; Nonemm diameter,0.237056,0.246726,0.234978,0.255588
pillar__M3x20_nylon_pillar,Medium,pillar,A standoff pillar; 3.0mm thread; 20.0mm long; 8.0mm diameter,0.244453,0.251742,0.251742,0.272946
pillar__M3x6_hex_pillar,Medium,pillar,A standoff pillar; 3.0mm thread; 6.0mm long; Nonemm diameter,0.205077,0.225471,0.246130,0.255851
pillar__M4x17_nylon_pillar,Medium,pillar,A standoff pillar; 4.0mm thread; 20.0mm long; 8.0mm diameter,0.239243,0.250509,0.250507,0.272264
pillow_block__KP000,Medium,pillow_block,A pillow block bearing for 10.0mm shaft; 67.0mm x 53.0mm base,0.229587,0.255192,0.231977,0.279630
pillow_block__KP001,Medium,pillow_block,A pillow block bearing for 12.0mm shaft; 71.0mm x 56.0mm base,0.232264,0.209872,0.261504,0.281606
pillow_block__KP08_15,Medium,pillow_block,A pillow block bearing for 8.0mm shaft; 55.0mm x 42.0mm base,0.220512,0.239735,0.265524,0.279921
pillow_block__KP08_18,Medium,pillow_block,A pillow block bearing for 8.0mm shaft; 55.0mm x 42.0mm base,0.227579,0.216019,0.261584,0.280008
potentiometer__BTT_encoder,Complex,potentiometer,A potentiometer: [12; 11; 6; 0.5],0.222703,0.213750,0.251350,0.213793
potentiometer__KY_040_encoder,Complex,potentiometer,A potentiometer: [12; 12; 6.5; 1.0],0.210657,0.216885,0.231272,0.209836
pulley__GT2x12_pulley,Complex,pulley,A timing pulley with 12 teeth and 7.15mm pitch diameter,0.208111,0.182814,0.243127,0.267427
pulley__GT2x16_plain_idler,Complex,pulley,A pulley,0.212493,0.215223,0.226619,0.239838
pulley__GT2x16_pulley,Complex,pulley,A timing pulley with 16 teeth and 9.75mm pitch diameter,0.161218,0.222579,0.175765,0.251710
pulley__GT2x16_pulley_9,Complex,pulley,A timing pulley with 16 teeth and 9.65mm pitch diameter,0.205168,0.207041,0.187631,0.259845
pulley__GT2x16_toothed_idler,Complex,pulley,A timing pulley with 16 teeth and 9.75mm pitch diameter,0.212558,0.180492,0.183363,0.273769
pulley__GT2x16_toothed_idler_9,Complex,pulley,A timing pulley with 16 teeth and 9.75mm pitch diameter,0.227121,0.210128,0.258017,0.252228
pulley__GT2x16x7_plain_idler,Complex,pulley,A pulley,0.222016,0.215900,0.196282,0.239151
pulley__GT2x20_plain_idler,Complex,pulley,A pulley,0.170137,0.217548,0.228353,0.243225
pulley__GT2x20_pulley_9,Complex,pulley,A timing pulley with 20 teeth and 12.22mm pitch diameter,0.256306,0.219963,0.184184,0.261340
pulley__GT2x20_toothed_idler,Complex,pulley,A timing pulley with 20 teeth and 12.22mm pitch diameter,0.200287,0.186321,0.204595,0.288786
pulley__GT2x20_toothed_idler_9,Complex,pulley,A timing pulley with 20 teeth and 12.22mm pitch diameter,0.219256,0.186321,0.179721,0.260725
pulley__GT2x20ob_pulley,Complex,pulley,A timing pulley with 20 teeth and 12.22mm pitch diameter,0.206486,0.186328,0.184382,0.263496
pulley__GT2x20um_pulley,Complex,pulley,A timing pulley with 20 teeth and 12.22mm pitch diameter,0.247359,0.186321,0.184437,0.281569
pulley__GT2x80_pulley,Complex,pulley,A timing pulley with 80 teeth and 50.42mm pitch diameter,0.268697,0.209496,0.297338,0.285908
pulley__T2p5x16_pulley,Complex,pulley,A timing pulley with 16 teeth and 12.16mm pitch diameter,0.231656,0.197849,0.176661,0.258978
pulley__T5x10_pulley,Complex,pulley,A timing pulley with 10 teeth and 15.0mm pitch diameter,0.246798,0.203675,0.210186,0.257909
radial__ACT1100,Medium,radial,A radial: [20.4; 10.8; 5.3; 1],0.218952,0.177899,0.205759,0.163696
radial__ACT1700,Medium,radial,A radial: [10.8; 10.8; 5.3; 1],0.202687,0.226338,0.186046,0.175070
radial__ATX_CM_CHOKE,Medium,radial,A radial: [17.4; 11.4; 9; 0.5],0.197374,0.212846,0.193856,0.157906
radial__C_002RX,Medium,radial,A radial: [ 2.0; 0; 6],0.220449,0.218510,0.219275,0.207986
radial__HC49,Medium,radial,A radial: [10.5; 3.7; 13.5],0.205230,0.181782,0.212048,0.175076
radial__HC49_4H,Medium,radial,A radial: [10.5; 3.7; 3.5],0.200913,0.219766,0.200846,0.163847
rail__HGH15CA,Simple,rail,A miniature linear guide rail; 15.0mm wide; 15.0mm tall; 100mm long,0.214142,0.211473,0.226343,0.257746
rail__HGH20CA,Simple,rail,A miniature linear guide rail; 20.0mm wide; 17.5mm tall; 100mm long,0.243877,0.190374,0.209096,0.246333
rail__MGN12,Simple,rail,A miniature linear guide rail; 12.0mm wide; 8.0mm tall; 100mm long,0.278356,0.219708,0.248344,0.248319
rail__MGN15,Simple,rail,A miniature linear guide rail; 15.0mm wide; 10.0mm tall; 100mm long,0.208414,0.203057,0.245945,0.263440
rail__MGN5,Simple,rail,A miniature linear guide rail; 5.0mm wide; 3.6mm tall; 100mm long,0.250877,0.223189,0.215937,0.255287
rail__MGN7,Simple,rail,A miniature linear guide rail; 7.0mm wide; 5.0mm tall; 100mm long,0.236768,0.217443,0.214504,0.262472
rail__MGN9,Simple,rail,A miniature linear guide rail; 9.0mm wide; 6.0mm tall; 100mm long,0.248594,0.206244,0.216588,0.258677
rail__SSR15,Simple,rail,A miniature linear guide rail; 15.0mm wide; 12.5mm tall; 100mm long,0.286609,0.227681,0.253198,0.257902
ring_terminal__M3_ringterm,Complex,ring_terminal,A ring terminal,0.189058,0.221218,0.193354,0.209009
ring_terminal__M3_ringterm_crimp,Complex,ring_terminal,A ring terminal,0.207453,0.201251,0.209331,0.218045
ring_terminal__M3_ringterm_cs,Complex,ring_terminal,A ring terminal,0.193748,0.201671,0.177634,0.209009
rod_end__RE_m5_bearing,Complex,rod_end,A rod end: uxcell M5x0.8 Right Hand Thread; Self-Lubricating Joint Rod Ends,0.209530,0.177942,0.221877,0.214720
screw__M2_cap_screw,Complex,screw,A socket head cap screw with 2.0mm diameter and 3.8mm head diameter; head height 2.0mm; 10mm long,0.235455,0.254689,0.240486,0.277026
screw__M2_cs_cap_screw,Complex,screw,A socket head cap screw with 2.0mm diameter and 3.8mm head diameter; 10mm long,0.294158,,0.267234,0.272878
screw__M2_dome_screw,Complex,screw,A dome head screw with 2.0mm diameter and 3.5mm head diameter; head height 1.3mm; 10mm long,0.267180,0.205920,0.221438,0.236388
screw__M2p5_cap_screw,Complex,screw,A socket head cap screw with 2.5mm diameter and 4.5mm head diameter; head height 2.5mm; 10mm long,0.285711,0.253221,0.259531,0.269937
screw__M2p5_dome_screw,Complex,screw,A dome head screw with 2.5mm diameter and 5.35mm head diameter; head height 1.6mm; 10mm long,0.269848,0.193276,0.228763,0.251678
screw__M2p5_pan_screw,Complex,screw,A pan head screw with 2.5mm diameter and 4.7mm head diameter; head height 1.7mm; 10mm long,0.287697,0.234817,0.237737,0.222739
screw__M3_cap_screw,Complex,screw,A socket head cap screw with 3.0mm diameter and 5.5mm head diameter; head height 3.0mm; 10mm long,0.249072,0.244821,0.246878,0.273513
screw__M3_cs_cap_screw,Complex,screw,A socket head cap screw with 3.0mm diameter and 6.0mm head diameter; 10mm long,0.265024,0.264534,0.267452,0.286384
screw__M3_dome_screw,Complex,screw,A dome head screw with 3.0mm diameter and 5.7mm head diameter; head height 1.65mm; 10mm long,0.248438,0.186611,0.217716,0.246431
screw__M3_grub_screw,Complex,screw,A screw: M3 grub,0.205697,0.201685,0.211280,0.207463
screw__M3_hex_screw,Complex,screw,A hex head screw with 3.0mm diameter and 6.4mm head diameter; head height 2.125mm; 10mm long,0.223041,0.237302,0.226486,0.233007
screw__M3_low_cap_screw,Complex,screw,A socket head cap screw with 3.0mm diameter and 5.5mm head diameter; head height 2.0mm; 10mm long,0.256546,0.251507,0.260029,0.271501
screw__M3_pan_screw,Complex,screw,A pan head screw with 3.0mm diameter and 5.4mm head diameter; head height 2.0mm; 10mm long,0.236114,0.236375,0.229020,0.218229
screw__M3_shoulder_screw,Complex,screw,A screw with 4.0mm diameter and 7.0mm head diameter; head height 2.4mm; 10mm long,0.292068,0.258257,0.253825,0.275429
screw__M4_cap_screw,Complex,screw,A socket head cap screw with 4.0mm diameter and 7.0mm head diameter; head height 4.0mm; 10mm long,0.242190,0.249908,0.244524,0.265246
screw__M4_cs_cap_screw,Complex,screw,A socket head cap screw with 4.0mm diameter and 8.0mm head diameter; 10mm long,0.292677,0.268554,0.273386,0.285283
screw__M4_dome_screw,Complex,screw,A dome head screw with 4.0mm diameter and 7.6mm head diameter; head height 2.2mm; 10mm long,0.276750,0.234032,0.227811,0.249073
screw__M4_grub_screw,Complex,screw,A screw: M4 grub,0.237491,0.197138,0.203747,0.213982
screw__M4_hex_screw,Complex,screw,A hex head screw with 4.0mm diameter and 8.1mm head diameter; head height 2.925mm; 10mm long,0.220392,0.226933,0.224800,0.232186
screw__M4_pan_screw,Complex,screw,A pan head screw with 4.0mm diameter and 7.8mm head diameter; head height 3.3mm; 10mm long,0.261909,0.236378,0.216633,0.222829
screw__M4_shoulder_screw,Complex,screw,A screw with 5.0mm diameter and 9.0mm head diameter; head height 2.4mm; 10mm long,0.267514,0.257710,0.257710,0.277999
screw__M5_cap_screw,Complex,screw,A socket head cap screw with 5.0mm diameter and 8.5mm head diameter; head height 5.0mm; 10mm long,0.257754,0.241327,0.251615,0.259141
screw__M5_cs_cap_screw,Complex,screw,A socket head cap screw with 5.0mm diameter and 10.0mm head diameter; 10mm long,0.294894,0.265146,0.272506,0.279982
screw__M5_dome_screw,Complex,screw,A dome head screw with 5.0mm diameter and 9.5mm head diameter; head height 2.75mm; 10mm long,0.255493,0.212482,0.223560,0.239101
screw__M5_grub_screw,Complex,screw,A screw: M5 grub,0.205619,0.197347,0.213299,0.214193
screw__M5_hex_screw,Complex,screw,A hex head screw with 5.0mm diameter and 9.2mm head diameter; head height 3.65mm; 10mm long,0.263633,0.219813,0.219541,0.232384
screw__M5_pan_screw,Complex,screw,A pan head screw with 5.0mm diameter and 10.0mm head diameter; head height 3.95mm; 10mm long,0.264440,0.228010,0.230173,0.220815
screw__M6_cap_screw,Complex,screw,A socket head cap screw with 6.0mm diameter and 10.0mm head diameter; head height 6.0mm; 10mm long,0.265585,0.243641,0.251302,0.268469
screw__M6_cs_cap_screw,Complex,screw,A socket head cap screw with 6.0mm diameter and 12.0mm head diameter; 10mm long,0.262568,0.252606,0.245011,0.275983
screw__M6_dome_screw,Complex,screw,A dome head screw with 6.0mm diameter and 10.5mm head diameter; head height 3.3mm; 10mm long,0.274346,0.204344,0.216570,0.238756
screw__M6_grub_screw,Complex,screw,A screw: M6 grub,0.193624,0.201004,0.187797,0.204566
screw__M6_hex_screw,Complex,screw,A hex head screw with 6.0mm diameter and 11.5mm head diameter; head height 4.15mm; 10mm long,0.263935,0.221422,0.215524,0.226492
screw__M6_pan_screw,Complex,screw,A pan head screw with 6.0mm diameter and 12.0mm head diameter; head height 4.75mm; 10mm long,0.221885,0.224159,0.225767,0.223271
screw__M8_cap_screw,Complex,screw,A socket head cap screw with 8.0mm diameter and 13.0mm head diameter; head height 8.0mm; 10mm long,0.268436,0.239963,0.224226,0.265197
screw__M8_cs_cap_screw,Complex,screw,A socket head cap screw with 8.0mm diameter and 16.0mm head diameter; 10mm long,0.261622,0.253008,0.238698,0.273537
screw__M8_dome_screw,Complex,screw,A dome head screw with 8.0mm diameter and 14.0mm head diameter; head height 4.4mm; 10mm long,0.244253,0.179158,0.187674,0.235909
screw__M8_hex_screw,Complex,screw,A hex head screw with 8.0mm diameter and 15.0mm head diameter; head height 5.65mm; 10mm long,0.241327,0.211253,0.205401,0.219903
screw__No2_screw,Complex,screw,A pan head screw with 2.2mm diameter and 4.2mm head diameter; head height 1.7mm; 10mm long,0.225653,0.237024,0.234651,0.215027
screw__No4_screw,Complex,screw,A pan head screw with 3.0mm diameter and 5.5mm head diameter; head height 2.0mm; 10mm long,0.230508,0.235083,0.218671,0.216033
screw__No632_pan_screw,Complex,screw,A pan head screw with 3.5mm diameter and 6.9mm head diameter; head height 2.5mm; 10mm long,0.262397,0.237024,0.239685,0.214471
screw__No6_cs_screw,Complex,screw,A screw with 3.5mm diameter and 7.0mm head diameter; 10mm long,0.282638,0.252695,0.262273,0.279135
screw__No6_screw,Complex,screw,A pan head screw with 3.5mm diameter and 6.7mm head diameter; head height 2.2mm; 10mm long,0.267641,0.241236,0.242024,0.215509
screw__No8_screw,Complex,screw,A pan head screw with 4.2mm diameter and 8.2mm head diameter; head height 3.05mm; 10mm long,0.273352,0.235891,0.212038,0.217522
servo_motor__Lichuan_M01330_80ST,Medium,servo_motor,A servo motor: Lichuan -80M01330B,0.213134,0.150318,0.220660,0.247005
servo_motor__Lichuan_M02430_80ST,Medium,servo_motor,A servo motor: Lichuan -80M02430B,0.213339,0.144126,0.210398,0.259655
servo_motor__Lichuan_M03530_80ST,Medium,servo_motor,A servo motor: Lichuan -80M03530B,0.216009,0.152960,0.163467,0.254468
servo_motor__Lichuan_M04030_80ST,Medium,servo_motor,A servo motor: Lichuan -80M04030B,0.185655,0.186437,0.197008,0.253843
shaft_coupling__SC_5x8_rigid,Medium,shaft_coupling,A rigid shaft coupling; 5.0mm to 8.0mm bore; 12.5mm outer diameter; 25.0mm long,0.261711,0.217750,0.272769,0.257360
shaft_coupling__SC_6x8_flex,Medium,shaft_coupling,A flexible shaft coupling; 6.0mm to 8.0mm bore; 19.0mm outer diameter; 25.0mm long,0.214259,0.208650,0.202526,0.253153
sheet__AL1_6,Simple,sheet,A sheet: Aluminium tooling plate,0.259916,0.226389,0.234034,0.166850
sheet__AL2,Simple,sheet,A sheet: Aluminium tooling plate,0.275796,0.228490,0.240155,0.162911
sheet__AL3,Simple,sheet,A sheet: Aluminium tooling plate,0.289441,0.226389,0.240155,0.163114
sheet__AL6,Simple,sheet,A sheet: Aluminium tooling plate,0.259892,0.228490,0.245298,0.166583
sheet__AL8,Simple,sheet,A sheet: Aluminium tooling plate,,0.228490,0.247140,0.167705
sheet__CF1,Simple,sheet,A sheet: Sheet carbon fiber,0.216326,0.202302,0.231861,0.179395
sheet__CF2,Simple,sheet,A sheet: Sheet carbon fiber,0.229205,0.202302,0.189919,0.162168
sheet__CF3,Simple,sheet,A sheet: Sheet carbon fiber,0.197287,0.202302,0.189919,0.168774
sheet__Cardboard,Simple,sheet,A sheet: Corrugated cardboard,0.241461,0.219048,0.185908,0.193186
sheet__DiBond,Simple,sheet,A sheet: Sheet DiBond,0.217018,0.223154,0.225944,0.199986
sheet__DiBond6,Simple,sheet,A sheet: Sheet DiBond,0.217582,0.223154,0.225944,0.199060
sheet__Foam20,Simple,sheet,A sheet: Foam sponge,0.157268,0.268098,0.220595,0.212254
sheet__FoilTape,Simple,sheet,A sheet: Aluminium foil tape,0.167114,0.192844,0.209273,0.185856
sheet__MDF10,Simple,sheet,A sheet,0.194748,0.223309,0.223309,0.194611
sheet__MDF12,Simple,sheet,A sheet,0.227992,0.223309,0.223309,0.193574
sheet__MDF18,Simple,sheet,A sheet: Sheet MDF,0.242025,0.246003,0.246162,0.204928
sheet__MDF19,Simple,sheet,A sheet,0.218293,0.223309,0.223309,0.193312
sheet__MDF22,Simple,sheet,A sheet: Sheet MDF,0.242491,0.246003,0.246162,0.202973
sheet__MDF3,Simple,sheet,A sheet: Sheet MDF,0.245171,0.246003,0.246162,0.202501
sheet__MDF6,Simple,sheet,A sheet,0.218293,0.223309,0.223309,0.195938
sheet__PMMA10,Simple,sheet,A sheet,0.204118,0.223309,0.223309,0.194611
sheet__PMMA1p25,Simple,sheet,A sheet: Sheet acrylic,0.239049,0.232755,0.233721,0.199909
sheet__PMMA2,Simple,sheet,A sheet: Sheet acrylic,0.237802,0.232755,0.233721,0.194083
sheet__PMMA3,Simple,sheet,A sheet,0.218066,0.223309,0.221035,0.191864
